,词语,次数
372,gai,2292
373,小吃,2281
374,卤味,2276
375,关东煮,2268
376,每次,2264
377,椰子,2254
378,潜江,2243
379,上头,2236
380,说话,2232
381,男人,2226
382,好喝,2223
383,想起,2216
384,鬼,2199
385,好评,2188
386,划算,2184
387,盗月社,2181
388,懂,2176
389,好羡慕,2171
390,中,2167
391,好香,2161
392,比肉,2161
393,万物,2156
394,简单,2152
395,饿死,2149
396,骗,2149
397,排骨,2148
398,煎,2144
399,斩尽,2144
400,妈,2142
401,健康,2134
402,广丰,2133
403,过后,2131
404,火炉,2129
405,太大,2123
406,站,2118
407,和谐,2115
408,喝醉,2112
409,油焖,2101
410,嗝,2086
411,刷,2074
412,布,2074
413,跳,2071
414,满头,2070
415,精致,2064
416,尼玛,2059
417,芝麻酱,2050
418,前,2049
419,钱,2048
420,圆,2044
421,泡泡,2043
422,胃,2043
423,风犬,2031
424,少年,2031
425,亲切,2030
426,木上,2028
427,烧烤,2026
428,精髓,2026
429,兄弟,2021
430,推翻,2015
431,加,2013
432,T,2013
433,赞,2011
434,五七,2006
435,年轻,2005
436,妈呀,1995
437,万松园,1987
438,桂林,1985
439,饺子,1985
440,狗头,1976
441,巷子,1968
442,夏天,1960
443,肛泰,1947
444,撸,1943
445,牙疼,1941
446,哒,1940
447,z,1936
448,人来,1927
449,喝酒,1927
450,右边,1925
451,真棒,1918
452,旅游,1916
453,尬,1913
454,额,1909
455,四川人,1907
456,舒服,1906
457,济南,1886
458,无敌,1879
459,夫妻,1879
460,半夜,1877
461,呜呜,1863
462,超辣,1856
463,叔叔,1854
464,建议,1850
465,g,1848
466,供,1845
467,外地,1839
468,宴,1838
469,紫皮,1832
470,衣服,1828
471,前方,1820
472,没吃过,1815
473,坑,1810
474,重点,1810
475,傻,1809
476,天下,1807
477,哇塞,1796
478,不对劲,1794
479,老板娘,1790
480,害怕,1788
481,街坊,1786
482,高能,1785
483,大拇指,1774
484,空轨,1768
485,下饭,1762
486,人多,1762
487,百,1760
488,时期,1760
489,牛腩,1756
490,徐大,1755
491,提街,1753
492,快点,1750
493,憨,1745
494,适合,1742
495,好玩,1742
496,行,1737
497,巨辣,1736
498,焖,1736
499,西苑,1735
500,吐,1734
501,腿,1734
502,找到,1728
503,女朋友,1725
504,解封,1722
505,煮,1721
506,没貌,1721
507,屁,1717
508,噢,1713
509,一期,1712
510,才学,1712
511,事情,1703
512,肾,1698
513,扎心,1681
514,新,1680
515,一对,1677
516,️,1676
517,手里,1670
518,梗,1668
519,安好,1665
520,门牙,1663
521,嗨,1660
522,条,1660
523,饺,1654
524,封印,1652
525,入味,1651
526,扛,1648
527,整条,1648
528,算了吧,1646
529,不服,1646
530,真香,1645
531,口,1641
532,你币,1639
533,不太,1634
534,加一,1633
535,男朋友,1629
536,∀,1624
537,奶茶,1624
538,他俩,1623
539,平平安安,1623
540,四大,1622
541,减肥,1621
542,估计,1617
543,不及,1617
544,防,1617
545,别跑,1615
546,盖子,1614
547,吹,1610
548,武昌,1610
549,现场,1604
550,眼泪,1603
551,衡阳,1602
552,凉拌,1599
553,藕片,1599
554,游客,1597
555,这句,1586
556,关系,1586
557,海南,1579
558,口红,1567
559,打广告,1566
560,算了,1566
561,有名,1564
562,情侣,1562
563,盗,1557
564,社,1555
565,口口口,1555
566,上次,1554
567,宵夜,1554
568,螺蛳,1550
569,心疼,1549
570,回答,1547
571,口罩,1544
572,透支,1538
573,天空,1538
574,预警,1537
575,块,1537
576,肺炎,1537
577,好看,1534
578,气息,1522
579,糯米,1517
580,早上,1513
581,号,1509
582,汤面,1508
583,解除,1508
584,锅贴,1508
585,九十,1504
586,头,1503
587,买个,1503
588,小学,1498
589,位置,1497
590,啥时候,1492
591,切菜,1491
592,穿越,1489
593,回家,1488
594,谐音,1477
595,文化,1472
596,华农,1472
597,巷别,1471
598,为啥,1465
599,是因为,1463
600,失败,1463
601,长得,1460
602,我来,1457
603,明明,1457
604,良心,1457
605,想念,1456
606,武大,1453
607,洛阳人,1451
608,烤,1446
609,很香,1445
610,记得,1430
611,站住,1428
612,蚝,1419
613,啃,1416
614,越来越,1415
615,全是,1415
616,社会,1411
617,送,1409
618,环境,1409
619,水货,1407
620,甜,1404
621,名楼,1404
622,那家,1401
623,剑光,1391
624,好帅,1389
625,电视剧,1386
626,可惜,1383
627,算,1379
628,炖汤,1377
629,猫,1376
630,一模一样,1374
631,鸭腿,1363
632,小巷子,1363
633,有种,1359
634,拥有,1358
635,摄像机,1358
636,区,1356
637,听到,1354
638,相,1351
639,太像,1351
640,襄阳,1346
641,不配,1346
642,四年,1338
643,生蒜,1338
644,丢,1336
645,外卖,1335
646,p,1331
647,擦,1328
648,挑开,1327
649,流,1326
650,凉菜,1325
651,牛肉面,1322
652,很长,1320
653,西安,1319
654,扣钱,1317
655,事,1315
656,这蒜,1312
657,妈妈,1312
658,贵州,1310
659,小时,1309
660,郭,1307
661,暴击,1303
662,医院,1303
663,这一锅,1302
664,一遍,1300
665,一年,1299
666,试试,1299
667,云梦,1297
668,放屁,1297
669,脸,1296
670,福州,1294
671,大锅,1293
672,措,1293
673,广州,1290
674,苹果,1290
675,不爱,1289
676,油田,1287
677,本来,1286
678,痔疮膏,1284
679,嘴角,1283
680,这俩,1279
681,雪鱼,1276
682,胡萝卜,1275
683,不闻,1271
684,我闻个,1271
685,有个,1270
686,师傅,1269
687,强行,1265
688,萨达姆,1264
689,毕业,1263
690,江湖气,1263
691,一份,1262
692,读,1262
693,刀工,1260
694,太香,1259
695,三个,1258
696,乐乐,1258
697,流口水,1257
698,妈耶,1257
699,分量,1257
700,人间,1253
701,姓名,1251
702,鼻子,1251
703,辣味,1246
704,狗,1245
705,不用,1240
706,有用,1240
707,ge,1239
708,太婆,1237
709,万,1236
710,微辣,1233
711,左边,1233
712,生活气息,1233
713,美食街,1232
714,感受,1230
715,溃疡,1229
716,上海,1229
717,南方,1227
718,外面,1225
719,沐浴露,1224
720,楼下,1223
721,难受,1223
722,筷子,1222
723,美女,1218
724,安庆,1218
725,人生,1217
726,够,1213
727,泡面,1213
728,BGM,1211
729,好听,1210
730,吃脆,1209
731,搞笑,1208
732,b,1206
733,小姐姐,1205
734,吼,1201
735,皮肤,1199
736,隔壁,1198
737,炖排骨,1198
738,串,1196
739,安徽,1195
740,烤生,1194
741,难吃,1194
742,面,1192
743,眼睛,1192
744,嫖,1191
745,人均,1190
746,方言,1188
747,ಥ,1186
748,正,1186
749,噗,1185
750,特产,1183
751,大碗,1179
752,隔离,1177
753,看得,1174
754,暖,1174
755,长街,1171
756,面子,1171
757,不去,1170
758,搞,1169
759,华师,1169
760,开学,1169
761,魔鬼,1167
762,看一遍,1163
763,蒜头,1161
764,s,1158
765,健健康康,1157
766,两,1156
767,配音,1156
768,真人,1155
769,锦州,1154
770,超爱,1153
771,帅,1140
772,炒菜,1136
773,钉,1136
774,运城,1134
775,赢,1134
776,求,1133
777,杀,1133
778,B,1133
779,好用,1131
780,放,1129
781,栖凤渡,1127
782,闻闻,1126
783,家里,1126
784,陕西,1126
785,司机,1124
786,趁凉,1121
787,一股,1120
788,真不错,1119
789,千与千寻,1116
790,主,1115
791,明年,1109
792,包,1102
793,坨,1099
794,几年,1098
795,不要紧,1098
796,胃口,1095
797,炒,1093
798,实话,1092
799,价格,1090
800,要点,1089
801,很辣,1088
802,上流,1088
803,打卡,1088
804,u,1085
